ITEM_CD,ITEM_NM,ITEM_GROUP_NM,SPEC,BASIC_UNIT,HS_CD
2811103,"PACKING,U/SU+85/NOK,IUIY/140X155X12/UH08",SB공통,"NOK,IUIY/140X155X12",EA,8431.49-9000
2811123,"SEAL,STEP/SB160/182X197.5X5.9/NOK",SB공통,182X197.5X5.9/NOK,EA,
2811124,"SEAL,STEP/SB147P/SPNS 176X191.5X5.9/05ZF",SB147P,SPNS 176X191.5X5.9,EA,8431.49-9000
2811125,"SEAL,STEP/205X220.5X5.9 SPNS/05ZF+A305",SB200,"SPNS 205x220.5x5.9, 05ZF, -",EA,8431.49-9000
2811128,"SEAL,STEP/SB170/SPNY-185/05ZF",SB170,SPNY-185,EA,8431.49-9000
2811141,"PACKING,U/210X224.5X9 IUIY/UH08",SB200,210X224.5X9 IUIY,EA,
2811142,"PACKING,U/210X230X12 IUI/UH08",SB200,210X230X12 IUI,EA,
2811143,"SEAL,STEP/SB175/STD 187X207.5X7.8",SB175,187X207.5X7.8,EA,8431.49-9000
2811144,"SEAL,STEP/SB175/SPNS 187X200X9.7/NOK",SB175,SPNS 187X200X9.7/NOK,EA,8431.49-9000
2811145,"SEAL,STEP/SB195H/190X201.5X7.8/05ZF+A305",SB195H,"SPNY,190X210.5X7.8, 05ZF, -",EA,8431.49-9000
2811146,"SEAL,STEP/SB3000II/05ZF",SB3000,05ZF,EA,8431.49-9000
2811148,"SEAL,STEP/NOK SPNS 207X227.6X7.7",SB210H,NOK SPNS 207X227.6X7.7,EA,8431.49-9000
2811150,"SEAL,STEP/NOK SPNS 209X229.6X7.7/05ZF",SB210H,NOK SPNS 209X229.6X7.7,EA,8431.49-9000
2819023,"SEAL,STEP/FIETZ,STS68/PTFE",SB40,"FIETZ,STS68",EA,8431.49-9000
2819024,"SEAL,STEP/FIETZ,STS83.5/PTFE",SB45,"FIETZ,STS83.5",EA,8431.49-9000
2819025,"SEAL,STEP/FIETZ,STS123.5/PTFE",SB60,"FIETZ,STS123.5",EA,8431.49-9000
2819027,"SEAL,STEP/FIETZ,STS157/PTFE",SB125,"FIETZ,STS157",EA,8431.49-9000
2819028,"SEAL,STEP/FIETZ,STS167/PTFE",SB130,"FIETZ,STS167",EA,8431.49-9000
2819033,"SEAL,BUFFER/FIETZ,KSB50/PTFE",SB30,"FIETZ,KSB50",EA,8431.49-9000
2819035,"SEAL,BUFFER/FIETZ,KSB157/PTFE",SB125,"FIETZ,KSB157",EA,8431.49-9000
2819036,"SEAL,BUFFER/FIETZ,KSB167/PTFE",SB130,"FIETZ,KSB167",EA,8431.49-9000
2819038,"SEAL,BUFFER/FIETZ,KSB37/324",SB10,"FIETZ,KSB37",EA,8431.49-9000
2819039,"SEAL,STEP/FIETZ,STS37/324",SB10,"FIETZ,STS37",EA,8431.49-9000
